,year,yearCode,country,countryCode,gini,govExpEdu,gdpGrowth,gdpPC
1570,2007,YR2007,Cyprus,CYP,31.1,6.280829906,5.098068453,40053.41379
1571,2007,YR2007,Czech Republic,CZE,26.0,3.84717989,5.570338859,33956.24598
1572,2007,YR2007,Denmark,DNK,26.2,7.615600109,0.909238928,53569.02802
1575,2007,YR2007,Dominican Republic,DOM,48.9,2.046789885,7.415951715,11756.466620000001
1578,2007,YR2007,El Salvador,SLV,45.2,3.60984993,1.860579145,7238.192144
1581,2007,YR2007,Estonia,EST,31.2,4.620639801,7.57914052,31140.57984
1586,2007,YR2007,Finland,FIN,28.3,5.67125988,5.299336507,48664.26571
1591,2007,YR2007,Georgia,GEO,38.1,2.696870089,12.57895343,9109.897740999999
1592,2007,YR2007,Germany,DEU,31.3,4.366799831,2.9764551310000003,47100.6097
1606,2007,YR2007,Hungary,HUN,27.9,5.143050194,0.242181101,25477.94929
1607,2007,YR2007,Iceland,ISL,29.5,6.944330215,8.454860096,52827.01012
1609,2007,YR2007,Indonesia,IDN,35.7,3.0442500110000004,6.345022227,7319.434386
1612,2007,YR2007,Ireland,IRL,31.9,4.713980198,5.30546835,59530.885279999995
1614,2007,YR2007,Israel,ISR,41.1,5.498829842,5.742456602000001,33666.14333
1615,2007,YR2007,Italy,ITA,32.9,4.10503006,1.48707298,45356.53672
1619,2007,YR2007,Kazakhstan,KAZ,30.1,2.831389904,8.9,19500.47894
1626,2007,YR2007,Kyrgyz Republic,KGZ,33.9,6.467000007999999,8.542874764,3857.6539090000006
1627,2007,YR2007,Lao PDR,LAO,35.4,3.078419924,7.596828801,4052.8383200000003
1628,2007,YR2007,Latvia,LVA,37.5,4.640679836,10.02709965,25294.388730000002
